GR;PODGR;RODZ;TYP;OPIS;NR_ODPADU
7;7.0;9.0;N;Zużyte sorbenty i osady pofiltracyjne zawierające związki chlorowców;337
7;7.0;10.0;N;Inne zużyte sorbenty i osady pofiltracyjne;338
7;7.0;11.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;339
7;7.0;12.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 07 07 11;340
7;7.0;99.0;B;Inne nie wymienione odpady;341
8;;;B;Odpady z produkcji, przygotowania, obrotu i stosowania powłok ochronnych (farb, lakierów, emalii ceramicznych), kitu, klejów, szczeliw i farb drukarskich;342
8;1.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania oraz usuwania farb i lakierów;343
8;1.0;11.0;N;Odpady farb i lakierów zawierających rozpuszczalniki organiczne lub inne substancje niebezpieczne;344
8;1.0;12.0;B;Odpady farb i lakierów inne niż wymienione w 08 01 11;345
8;1.0;13.0;N;Szlamy z usuwania farb i lakierów zawierające rozpuszczalniki organiczne lub inne substancje niebezpieczne;346
8;1.0;14.0;B;Szlamy z usuwania farb i lakierów inne niż wymienione w 08 01 13;347
8;1.0;15.0;N;Szlamy wodne zawierające farby i lakiery zawierające rozpuszczalniki organiczne lub inne substancje niebezpieczne;348
8;1.0;16.0;B;Szlamy wodne zawierające farby i lakiery inne niż wymienione w 08 01 15;349
8;1.0;17.0;N;Odpady z usuwania farb i lakierów zawierające rozpuszczalniki organiczne lub inne substancje niebezpieczne;350
8;1.0;18.0;B;Odpady z usuwania farb i lakierów inne niż wymienione w 08 01 17;351
8;1.0;19.0;N;Zawiesiny wodne farb lub lakierów zawierające rozpuszczalniki organiczne lub inne substancje niebezpieczne;352
8;1.0;20.0;B;Zawiesiny wodne farb lub lakierów inne niż wymienione w 08 01 19;353
8;1.0;21.0;N;Zmywacz farb lub lakierów;354
8;1.0;99.0;B;Inne nie wymienione odpady;355
8;2.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania innych powłok (w tym materiałów ceramicznych;356
8;2.0;1.0;B;Odpady proszków powlekających;357
8;2.0;2.0;B;Szlamy wodne zawierające materiały ceramiczne;358
8;2.0;3.0;B;Zawiesiny wodne zawierające materiały ceramiczne;359
8;2.0;99.0;B;Inne nie wymienione odpady;360
8;3.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania farb drukarskich;361
8;3.0;7.0;B;Szlamy wodne zawierające farby drukarskie;362
8;3.0;8.0;B;Odpady ciekłe zawierające farby drukarskie;363
8;3.0;12.0;N;Odpady farb drukarskich zawierające substancje niebezpieczne;364
8;3.0;13.0;B;Odpady farb drukarskich inne niż wymienione w 08 03 12;365
8;3.0;14.0;N;Szlamy farb drukarskich zawierające substancje niebezpieczne;366
8;3.0;15.0;B;Szlamy farb drukarskich inne niż wymienione w 08 03 14;367
8;3.0;16.0;N;Zużyte roztwory trawiące;368
8;3.0;17.0;N;Odpadowy toner drukarski zawierający substancje niebezpieczne;369
8;3.0;18.0;B;Odpadowy toner drukarski inny niż wymieniony w 08 03 17;370
8;3.0;19.0;N;Zdyspergowany olej zawierający substancje niebezpieczne;371
8;3.0;80.0;B;Zdyspergowany olej inny niż wymieniony w 08 03 19;372
8;3.0;99.0;B;Inne nie wymienione odpady;373
8;4.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania klejów oraz szczeliw (w tym środki do impregnacji wodoszczelnej;374
8;4.0;9.0;N;Odpadowe kleje i szczeliwa zawierające rozpuszczalniki organiczne lub inne substancje niebezpieczne;375
8;4.0;10.0;B;Odpadowe kleje i szczeliwa inne niż wymienione w 08 04 09;376
8;4.0;11.0;N;Osady z klejów i szczeliw zawierające rozpuszczalniki organiczne lub inne substancje niebezpieczne;377
8;4.0;12.0;B;Osady z klejów i szczeliw inne niż wymienione w 08 04 11;378
8;4.0;13.0;N;Uwodnione szlamy klejów lub szczeliw zawierające rozpuszczalniki organiczne lub inne substancje niebezpieczne;379
8;4.0;14.0;B;Uwodnione szlamy klejów lub szczeliw inne niż wymienione w 08 04 13;380
8;4.0;15.0;N;Odpady ciekłe klejów lub szczeliw zawierające rozpuszczalniki organiczne lub inne substancje niebezpieczne;381
8;4.0;16.0;B;Odpady ciekłe klejów lub szczeliw inne niż wymienione w 08 04 15;382
8;4.0;17.0;N;Olej żywiczny;383
8;4.0;99.0;B;Inne nie wymienione odpady;384
8;5.0;;B;Odpady nie ujęte w innych podgrupach grupy 08;385
8;5.0;1.0;N;Odpady izocyjanianów;386
9;;;B;Odpady z przemysłu fotograficznego i usług fotograficznych;387
9;1.0;;B;Odpady z przemysłu fotograficznego i usług fotograficznych;388
9;1.0;1.0;N;Wodne roztwory wywoływaczy i aktywatorów;389
9;1.0;2.0;N;Wodne roztwory wywoływaczy do płyt offsetowych;390
9;1.0;3.0;N;Roztwory wywoływaczy opartych na rozpuszczalnikach;391
9;1.0;4.0;N;Roztwory utrwalaczy;392
9;1.0;5.0;N;Roztwory wybielaczy i kąpieli wybielająco-utrwalających;393
9;1.0;6.0;N;Osady z zakładowych oczyszczalni ścieków zawierające srebro;394
9;1.0;7.0;B;Błony i papier fotograficzny zawierające srebro lub związki srebra;395
9;1.0;8.0;B;Błony i papier fotograficzny nie zawierające srebra;396
9;1.0;10.0;B;Aparaty fotograficzne jednorazowego użytku bez baterii;397
9;1.0;11.0;N;Aparaty fotograficzne jednorazowego użytku zawierające baterie wymienione w 16 06 01, 16 06 02 lub 16 06 03;398
9;1.0;12.0;B;Aparaty fotograficzne jednorazowego użytku zawierające baterie inne niż wymienione w 09 01 11;399
9;1.0;13.0;N;Odpady ciekłe z zakładowej regeneracji srebra inne niż wymienione w 09 01 06;400
9;1.0;80.0;N;Przeterminowane odczynniki fotograficzne;401
9;1.0;99.0;B;Inne nie wymienione odpady;402
10;;;B;Odpady z procesów termicznych;403
10;1.0;;B;Odpady z elektrowni i innych zakładów energetycznego spalania paliw (z wyłączeniem grupy 19);404
10;1.0;1.0;B;Żużle, popioły paleniskowe i pyły z kotłów (z wyłączeniem pyłów z kotłów wymienionych w 10 01 04);405
10;1.0;2.0;B;Popioły lotne z węgla;406
10;1.0;3.0;B;Popioły lotne z torfu i drewna nie poddanego obróbce chemicznej;407
10;1.0;4.0;N;Popioły lotne i pyły z kotłów z paliw płynnych;408
10;1.0;5.0;B;Stałe odpady z wapniowych metod odsiarczania gazów odlotowych;409
10;1.0;7.0;B;Produkty z wapniowych metod odsiarczania gazów odlotowych odprowadzane w postaci szlamu;410
10;1.0;9.0;N;Kwas siarkowy;411
10;1.0;13.0;N;Popioły lotne z emulgowanych węglowodorów stosowanych jako paliwo;412
10;1.0;14.0;N;Popioły paleniskowe, żużle i pyły z kotłów ze współspalania zawierające substancje niebezpieczne;413
10;1.0;15.0;B;Popioły paleniskowe, żużle i pyły z kotłów ze współspalania inne niż wymienione w 10 01 14;414
10;1.0;16.0;N;Popioły lotne ze współspalania zawierające substancje niebezpieczne;415
10;1.0;17.0;B;Popioły lotne ze współspalania inne niż wymienione w 10 01 16;416
10;1.0;18.0;N;Odpady z oczyszczania gazów odlotowych zawierające substancje niebezpieczne;417
10;1.0;19.0;B;Odpady z oczyszczania gazów odlotowych inne niż wymienione w 10 01 05, 10 01 07 i 10 01 18;418
10;1.0;20.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;419
10;1.0;21.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 10 01 20;420
10;1.0;22.0;N;Uwodnione szlamy z czyszczenia kotłów zawierające substancje niebezpieczne;421
10;1.0;23.0;B;Uwodnione szlamy z czyszczenia kotłów inne niż wymienione w 10 01 22;422
10;1.0;24.0;B;Piaski ze złóż fluidalnych (z wyłączeniem 10 01 82);423
10;1.0;25.0;B;Odpady z przechowywania i przygotowania paliw dla opalanych węglem elektrowni;424
10;1.0;26.0;B;Odpady z uzdatniania wody chłodzącej;425
10;1.0;80.0;B;Mieszanki popiołowo-żużlowe z mokrego odprowadzania odpadów paleniskowych;426
10;1.0;81.0;B;Mikrosfery z popiołów lotnych;427
10;1.0;82.0;B;Mieszaniny popiołów lotnych i odpadów stałych z wapniowych metod odsiarczania gazów odlotowych (metody suche i półsuche odsiarczania spalin oraz spalanie w złożu fluidalnym);428
10;1.0;99.0;B;Inne nie wymienione odpady;429
10;2.0;;B;Odpady z hutnictwa żelaza i stali;430
10;2.0;1.0;B;Żużle z procesów wytapiania (wielkopiecowe, stalownicze);431
10;2.0;2.0;B;Nieprzerobione żużle z innych procesów;432
10;2.0;7.0;N;Odpady stałe z oczyszczania gazów odlotowych zawierające substancje niebezpieczne;433
10;2.0;8.0;B;Odpady stałe z oczyszczania gazów odlotowych inne niż wymienione w 10 02 07;434
10;2.0;10.0;B;Zgorzelina walcownicza;435
10;2.0;11.0;N;Odpady z uzdatniania wody chłodzącej zawierające oleje;436
10;2.0;12.0;B;Odpady z uzdatniania wody chłodzącej inne niż wymienione w 10 02 11;437
10;2.0;13.0;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych zawierające substancje niebezpieczne;438
10;2.0;14.0;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych inne niż wymienione w 10 02 13;439
10;2.0;15.0;B;Inne szlamy i osady pofiltracyjne;440
10;2.0;80.0;B;Zgary z hutnictwa żelaza;441
10;2.0;81.0;B;Odpadowy siarczan żelazawy;442
10;2.0;99.0;B;Inne nie wymienione odpady;443
10;3.0;;B;Odpady z hutnictwa aluminium;444
10;3.0;2.0;B;Odpadowe anody;445
10;3.0;4.0;N;Żużle z produkcji pierwotnej;446
10;3.0;5.0;B;Odpady tlenku glinu;447
10;3.0;8.0;N;Słone żużle z produkcji wtórnej;448
10;3.0;9.0;N;Czarne kożuchy żużlowe z produkcji wtórnej;449
10;3.0;15.0;N;Zgary z wytopu o właściwościach palnych lub wydzielająca w zetknięciu z wodą gazy palne w niebezpiecznych ilościach;450
10;3.0;16.0;B;Zgary z wytopu inna niż wymieniona w 10 03 15;451
10;3.0;17.0;N;Odpady zawierające smołę z produkcji anod;452
10;3.0;18.0;B;Odpady zawierające węgiel z produkcji anod inne niż wymienione w 10 03 17;453
10;3.0;19.0;N;Pyły z gazów odlotowych zawierające substancje niebezpieczne;454
10;3.0;20.0;B;Pyły z gazów odlotowych inne niż wymienione w 10 03 19;455
10;3.0;21.0;N;Inne cząstki stałe i pyły (łącznie z pyłami z młynów kulowych) zawierające substancje niebezpieczne;456
10;3.0;22.0;B;Inne cząstki stałe i pyły (łącznie z pyłami z młynów kulowych) inne niż wymienione w 10 03 21;457
10;3.0;23.0;N;Odpady stałe z oczyszczania gazów odlotowych zawierające substancje niebezpieczne;458
10;3.0;24.0;B;Odpady stałe z oczyszczania gazów odlotowych inne niż wymienione w 10 03 23;459
10;3.0;25.0;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych zawierające substancje niebezpieczne;460
10;3.0;26.0;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych inne niż wymienione w 10 03 25;461
10;3.0;27.0;N;Odpady z uzdatniania wody chłodzącej zawierające oleje;462
10;3.0;28.0;B;Odpady z uzdatniania wody chłodzącej inne niż wymienione w 10 03 27;463
10;3.0;29.0;N;Odpady z przetwarzania słonych żużli i czarnych kożuchów żużlowych zawierające substancje niebezpieczne;464
10;3.0;30.0;B;Odpady z przetwarzania słonych żużli i czarnych kożuchów żużlowych inne niż wymienione w 10 03 29;465
10;3.0;99.0;B;Inne nie wymienione odpady;466
11;;;B;Odpady z chemicznej obróbki i powlekania powierzchni metali oraz innych materiałów i z procesów hydrometalurgii metali nieżelaznych;467
11;1.0;;B;Odpady z obróbki i powlekania metali oraz innych materiałów (np. procesów galwanicznych, cynkowania, wytrawiania, fosforanowania, alkalicznego odtłuszczania, anodowania);468
11;1.0;5.0;N;Kwasy trawiące;469
11;1.0;6.0;N;Odpady zawierające kwasy inne niż wymienione w 11 01 05;470
11;1.0;7.0;N;Alkalia trawiące;471
11;1.0;8.0;N;Osady i szlamy z fosforanowania;472
11;1.0;9.0;N;Szlamy i osady pofiltracyjne zawierające substancje niebezpieczne;473
11;1.0;10.0;B;Szlamy i osady pofiltracyjne inne niż wymienione w 11 01 09;474
11;1.0;11.0;N;Wody popłuczne zawierające substancje niebezpieczne;475
11;1.0;12.0;B;Wody popłuczne inne niż wymienione w 11 01 11;476
11;1.0;13.0;N;Odpady z odtłuszczania zawierające substancje niebezpieczne;477
11;1.0;14.0;B;Odpady z odtłuszczania inne niż wymienione w 11 01 13;478
11;1.0;15.0;N;Odcieki i szlamy z systemów membranowych lub systemów wymiany jonowej zawierające substancje niebezpieczne;479
11;1.0;16.0;N;Nasycone lub zużyte żywice jonowymienne;480
11;1.0;98.0;N;Inne odpady zawierające substancje niebezpieczne;481
11;1.0;99.0;B;Inne nie wymienione odpady;482
11;2.0;;B;Odpady i szlamy z hydrometalurgii metali nieżelaznych;483
11;2.0;2.0;N;Szlamy z hydrometalurgii cynku (w tym jarozyt i getyt);484
11;2.0;3.0;B;Odpady z produkcji anod dla procesów elektrolizy;485
11;2.0;5.0;N;Odpady z hydrometalurgii miedzi zawierające substancje niebezpieczne;486
11;2.0;6.0;B;Odpady z hydrometalurgii miedzi inne niż wymienione w 11 02 05;487
11;2.0;7.0;N;Inne odpady zawierające substancje niebezpieczne;488
11;2.0;99.0;B;Inne nie wymienione odpady;489
12;;;B;Odpady z kształtowania oraz fizycznej i mechanicznej obróbki powierzchni metali i tworzyw sztucznych;490
12;1.0;;B;Odpady z kształtowania oraz fizycznej i mechanicznej obróbki powierzchni metali i tworzyw sztucznych;491
12;1.0;1.0;B;Odpady z toczenia i piłowania żelaza i jego stopów;492
12;1.0;2.0;B;Cząstki i pyły żelaza oraz jego stopów;493
12;1.0;3.0;B;Odpady z toczenia i piłowania metali nieżelaznych;494
12;1.0;4.0;B;Cząstki i pyły metali nieżelaznych;495
12;1.0;5.0;B;Odpady z toczenia i wygładzania tworzyw sztucznych;496
12;1.0;6.0;N;Odpadowe oleje mineralne z obróbki metali zawierające chlorowce (z wyłączeniem emulsji i roztworów);497
12;1.0;7.0;N;Odpadowe oleje mineralne z obróbki metali nie zawierające chlorowców (z wyłączeniem emulsji i roztworów);498
12;1.0;8.0;N;Odpadowe emulsje i roztwory olejowe z obróbki metali zawierające chlorowce;499
12;1.0;9.0;N;Odpadowe emulsje i roztwory z obróbki metali nie zawierające chlorowców;500
12;1.0;10.0;N;Syntetyczne oleje z obróbki metali;501
12;1.0;12.0;N;Zużyte woski i tłuszcze;502
12;1.0;13.0;B;Odpady spawalnicze;503
12;1.0;14.0;N;Szlamy z obróbki metali zawierające substancje niebezpieczne;504
12;1.0;15.0;B;Szlamy z obróbki metali inne niż wymienione w 12 01 14;505
12;1.0;16.0;N;Odpady poszlifierskie zawierające substancje niebezpieczne;506
12;1.0;17.0;B;Odpady poszlifierskie inne niż wymienione w 12 01 16;507
12;1.0;18.0;N;Szlamy z obróbki metali zawierające oleje (np. szlamy z szlifowania, gładzenia i pokrywania);508
12;1.0;19.0;N;Oleje z obróbki metali łatwo ulegające biodegradacji;509
12;1.0;20.0;N;Zużyte materiały szlifierskie zawierające substancje niebezpieczne;510
12;1.0;21.0;B;Zużyte materiały szlifierskie inne niż wymienione w 12 01 20;511
12;1.0;99.0;B;Inne nie wymienione odpady;512
12;3.0;;B;Odpady z odtłuszczania wodą i parą (z wyłączeniem grupy 11);513
12;3.0;1.0;N;Wodne ciecze myjące;514
12;3.0;2.0;N;Odpady z odtłuszczania parą;515
13;;;B;Oleje odpadowe i odpady ciekłych paliw (z wyłączeniem olejów jadalnych oraz grup 05, 12 i 19);516
13;1.0;;B;Odpadowe oleje hydrauliczne;517
13;1.0;1.0;N;Oleje hydrauliczne zawierające PCB;518
13;1.0;4.0;N;Emulsje olejowe zawierające związki chlorowcoorganiczne;519
13;1.0;5.0;N;Emulsje olejowe nie zawierające związków chlorowcoorganicznych;520
13;1.0;9.0;N;Mineralne oleje hydrauliczne zawierające związki chlorowcoorganiczne;521
13;1.0;10.0;N;Mineralne oleje hydrauliczne nie zawierające związków chlorowcoorganicznych;522
13;1.0;11.0;N;Syntetyczne oleje hydrauliczne;523
13;1.0;12.0;N;Oleje hydrauliczne łatwo ulegające biodegradacji;524
13;1.0;13.0;N;Inne oleje hydrauliczne;525
13;2.0;;B;Odpadowe oleje silnikowe, przekładniowe i smarowe;526
13;2.0;4.0;N;Mineralne oleje silnikowe, przekładniowe i smarowe zawierające związki chlorowcoorganiczne;527
13;2.0;5.0;N;Mineralne oleje silnikowe, przekładniowe i smarowe nie zawierające związków chlorowcoorganicznych;528
13;2.0;6.0;N;Syntetyczne oleje silnikowe, przekładniowe i smarowe;529
13;2.0;7.0;N;Oleje silnikowe, przekładniowe i smarowe łatwo ulegające biodegradacji;530
13;2.0;8.0;N;Inne oleje silnikowe, przekładniowe i smarowe;531
13;3.0;;B;Odpadowe oleje i ciecze stosowane jako elektroizolatory oraz nośniki ciepła;532
13;3.0;1.0;N;Oleje i ciecze stosowane jako elektroizolatory i nośniki ciepła zawierające PCB;533
13;3.0;6.0;N;Mineralne oleje i ciecze stosowane jako elektroizolatory oraz nośniki ciepła zawierające związki chlorowcoorganiczne inne niż wymienione w 13 03 01;534
13;3.0;7.0;N;Mineralne oleje i ciecze stosowane jako elektroizolatory oraz nośniki ciepła nie zawierające związków chlorowcoorganicznych;535
13;3.0;8.0;N;Syntetyczne oleje i ciecze stosowane jako elektroizolatory oraz nośniki ciepła inne niż wymienione w 13 03 01;536
13;3.0;9.0;N;Oleje i ciecze stosowane jako elektroizolatory oraz nośniki ciepła łatwo ulegające biodegradacji;537
13;3.0;10.0;N;Inne oleje i ciecze stosowane jako elektroizolatory oraz nośniki ciepła;538
13;4.0;;B;Oleje zęzowe;539
13;4.0;1.0;N;Oleje zęzowe ze statków żeglugi śródlądowej;540
13;4.0;2.0;N;Oleje zęzowe z nabrzeży portowych;541
13;4.0;3.0;N;Oleje zęzowe ze statków morskich;542
13;5.0;;B;Odpady z odwadniania olejów w separatorach;543
13;5.0;1.0;N;Odpady stałe z piaskowników i z odwadniania olejów w separatorach;544
13;5.0;2.0;N;Szlamy z odwadniania olejów w separatorach;545
13;5.0;3.0;N;Szlamy z kolektorów;546
13;5.0;6.0;N;Olej z odwadniania olejów w separatorach;547
13;5.0;7.0;N;Zaolejona woda z odwadniania olejów w separatorach;548
13;5.0;8.0;N;Mieszanina odpadów z piaskowników i z odwadniania olejów w separatorach;549
13;8.0;;B;Odpady olejowe nie ujęte w innych podgrupach;550
13;8.0;1.0;N;Olej opałowy i olej napędowy;551
13;8.0;2.0;N;Inne emulsje;552
13;8.0;80.0;B;Zaolejone odpady stałe ze statków;553
13;8.0;99.0;N;Inne nie wymienione odpady;554
14;;;B;Odpady z rozpuszczalników organicznych, chłodziw i propelentów (z wyłączeniem grup 07 i 08);555
14;6.0;;B;Odpady z rozpuszczalników organicznych, chłodziw i propelentów w pianach lub aerozolach;556
14;6.0;1.0;N;CFC, HCFC, HFC;557
14;6.0;2.0;N;Inne chlorowcoorganiczne rozpuszczalniki i mieszaniny rozpuszczalników;558
14;6.0;3.0;N;Inne rozpuszczalniki i mieszaniny rozpuszczalników;559
14;6.0;4.0;N;Szlamy i odpady stałe zawierające rozpuszczalniki chlorowcoorganiczne;560
14;6.0;5.0;N;Szlamy i odpady stałe zawierające inne rozpuszczalniki;561
15;;;B;Odpady opakowaniow;562
15;1.0;;B;Odpady opakowaniowe (włącznie z selektywnie gromadzonymi komunalnymi odpadami opakowaniowymi;563
15;1.0;1.0;B;Opakowania z papieru i tektury;564
15;1.0;2.0;B;Opakowania z tworzyw sztucznych;565
15;1.0;3.0;B;Opakowania z drewna;566
15;1.0;4.0;B;Opakowania z metali;567
15;1.0;5.0;B;Opakowania wielomateriałowe;568
15;1.0;6.0;B;Zmieszane odpady opakowaniowe;569
15;1.0;7.0;B;Opakowania ze szkła;570
15;1.0;9.0;B;Opakowania z tekstyliów;571
15;1.0;10.0;N;Opakowania zawierające pozostałości substancji niebezpiecznych lub nimi zanieczyszczone (np. środkami ochrony roślin I i II klasy toksyczności - bardzo toksyczne i toksyczne);572
15;1.0;11.0;N;Opakowania z metali zawierające niebezpieczne porowate elementy wzmocnienia konstrukcyjnego (np. azbest), włącznie z pustymi pojemnikami ciśnieniowymi;573
15;2.0;;B;Sorbenty, materiały filtracyjne, tkaniny do wycierania i ubrania ochronne;574
15;2.0;2.0;N;Sorbenty, materiały filtracyjne (w tym filtry olejowe nie ujęte w innych grupach), tkaniny do wycierania (np. szmaty, ścierki) i ubrania ochronne zanieczyszczone substancjami niebezpiecznymi (np. PCB);575
15;2.0;3.0;B;Sorbenty, materiały filtracyjne, tkaniny do wycierania (np. szmaty, ścierki) i ubrania ochronne inne niż wymienione w 15 02 02;576
16;;;B;Odpady nie ujęte w innych grupach;577
16;1.0;;B;Zużyte lub nie nadające się do użytkowania pojazdy (włączając maszyny pozadrogowe), odpady z demontażu, przeglądu i konserwacji pojazdów (z wyłączeniem grup 13 i 14 oraz podgrup 16 06 i 16 08);578
16;1.0;3.0;B;Zużyte opony;579
16;1.0;4.0;N;Zużyte lub nie nadające się do użytkowania pojazdy;580
16;1.0;6.0;B;Zużyte lub nie nadające się do użytkowania pojazdy nie zawierające cieczy i innych niebezpiecznych elementów;581
16;1.0;7.0;N;Filtry olejowe;582
16;1.0;8.0;N;Elementy zawierające rtęć;583
16;1.0;9.0;N;Elementy zawierające PCB;584
16;1.0;10.0;N;Elementy wybuchowe (np. poduszki powietrzne);585
16;1.0;11.0;N;Okładziny hamulcowe zawierające azbest;586
16;1.0;12.0;B;Okładziny hamulcowe inne niż wymienione w 16 01 11;587
16;1.0;13.0;N;Płyny hamulcowe;588
16;1.0;14.0;N;Płyny zapobiegające zamarzaniu zawierające niebezpieczne substancje;589
16;1.0;15.0;B;Płyny zapobiegające zamarzaniu inne niż wymienione w 16 01 14;590
16;1.0;16.0;B;Zbiorniki na gaz skroplony;591
16;1.0;17.0;B;Metale żelazne;592
16;1.0;18.0;B;Metale nieżelazne;593
16;1.0;19.0;B;Tworzywa sztuczne;594
16;1.0;20.0;B;Szkło;595
16;1.0;21.0;N;Niebezpieczne elementy inne niż wymienione w 16 01 07 do 16 01 11, 16 01 13 i 16 01 14;596
16;1.0;22.0;B;Inne nie wymienione elementy;597
16;1.0;99.0;B;Inne nie wymienione odpady;598
16;2.0;;B;Odpady urządzeń elektrycznych i elektronicznych;599
16;2.0;9.0;N;Transformatory i kondensatory zawierające PCB;600
16;2.0;10.0;N;Zużyte urządzenia zawierające PCB albo nimi zanieczyszczone inne niż wymienione w 16 02 09;601
16;2.0;11.0;N;Zużyte urządzenia zawierające freony, HCFC, HFC;602
16;2.0;12.0;N;Zużyte urządzenia zawierające wolny azbest;603
16;2.0;13.0;N;Zużyte urządzenia zawierające niebezpieczne elementy (1) inne niż wymienione w 16 02 09 do 16 02 12;604
16;2.0;14.0;B;Zużyte urządzenia inne niż wymienione w 16 02 09 do 16 02 13;605
16;2.0;15.0;N;Niebezpieczne elementy lub części składowe usunięte z zużytych urządzeń;606
16;2.0;16.0;B;Elementy usunięte z zużytych urządzeń inne niż wymienione w 16 02 15;607
16;3.0;;B;Partie produktów nie odpowiadające wymaganiom oraz produkty przeterminowane lub nieprzydatne do użytku;608
16;3.0;3.0;N;Nieorganiczne odpady zawierające substancje niebezpieczne;609
16;3.0;4.0;B;Nieorganiczne odpady inne niż wymienione w 16 03 03, 16 03 80;610
16;3.0;5.0;N;Organiczne odpady zawierające substancje niebezpieczne;611
16;3.0;6.0;B;Organiczne odpady inne niż wymienione w 16 03 05, 16 03 80;612
16;3.0;80.0;B;Produkty spożywcze przeterminowane lub nieprzydatne do spożycia;613
16;4.0;;B;Odpady materiałów wybuchowych;614
16;4.0;1.0;N;Odpadowa amunicja;615
16;4.0;2.0;N;Odpadowe wyroby pirotechniczne (np. ognie sztuczne);616
16;4.0;3.0;N;Inne materiały wybuchowe;617
16;5.0;;B;Gazy w pojemnikach ciśnieniowych i zużyte chemikalia;618
16;5.0;4.0;N;Gazy w pojemnikach (w tym halony) zawierające substancje niebezpieczne;619
16;5.0;5.0;B;Gazy w pojemnikach inne niż wymienione w 16 05 04;620
16;5.0;6.0;N;Chemikalia laboratoryjne i analityczne (np. odczynniki chemiczne) zawierające substancje niebezpieczne, w tym mieszaniny chemikaliów laboratoryjnych i analitycznych;621
16;5.0;7.0;N;Zużyte nieorganiczne chemikalia zawierające substancje niebezpieczne (np. przeterminowane odczynniki chemiczne);622
16;5.0;8.0;N;Zużyte organiczne chemikalia zawierające substancje niebezpieczne (np. przeterminowane odczynniki chemiczne);623
16;5.0;9.0;B;Zużyte chemikalia inne niż wymienione w 16 05 06, 16 05 07 lub 16 05 08;624
16;6.0;;B;Baterie i akumulatory;625
16;6.0;1.0;N;Baterie i akumulatory ołowiowe;626
16;6.0;2.0;N;Baterie i akumulatory niklowo-kadmowe;627
16;6.0;3.0;N;Baterie zawierające rtęć;628
16;6.0;4.0;B;Baterie alkaliczne (z wyłączeniem 16 06 03);629
16;6.0;5.0;B;Inne baterie i akumulatory;630
16;6.0;6.0;N;Selektywnie gromadzony elektrolit z baterii i akumulatorów;631
16;7.0;;B;Odpady z czyszczenia zbiorników magazynowych, cystern transportowych i beczek (z wyjątkiem grup 05 i 13);632
16;7.0;8.0;N;Odpady zawierające ropę naftową lub jej produkty;633
16;7.0;9.0;N;Odpady zawierające inne substancje niebezpieczne;634
16;7.0;99.0;B;Inne nie wymienione odpady;635
16;8.0;;B;Zużyte katalizatory;636
16;8.0;1.0;B;Zużyte katalizatory zawierające złoto, srebro, ren, rod, pallad, iryd lub platynę (z wyłączeniem 16 08 07);637
16;8.0;2.0;N;Zużyte katalizatory zawierające niebezpieczne metale przejściowe (2) lub ich niebezpieczne związki;638
16;8.0;3.0;B;Zużyte katalizatory zawierające metale przejściowe lub ich związki inne niż wymienione w 16 08 02;639
16;8.0;4.0;B;Zużyte katalizatory stosowane do katalitycznego krakingu w procesie fluidyzacyjnym (z wyłączeniem 16 08 07);640
16;8.0;5.0;N;Zużyte katalizatory zawierające kwas fosforowy;641
16;8.0;6.0;N;Zużyte ciecze stosowane jako katalizatory;642
16;8.0;7.0;N;Zużyte katalizatory zanieczyszczone substancjami niebezpiecznymi;643
16;9.0;;B;Substancje utleniające;644
16;9.0;1.0;N;Nadmanganiany (np. nadmanganian potasowy);645
16;9.0;2.0;N;Chromiany (np. chromian potasowy, dwuchromian sodowy lub potasowy);646
16;9.0;3.0;N;Nadtlenki (np. nadtlenek wodoru);647
16;9.0;4.0;N;Inne nie wymienione substancje utleniające;648
16;10.0;;B;Uwodnione odpady ciekłe przeznaczone do odzysku lub unieszkodliwiania poza miejscami ich powstawania;649
16;10.0;1.0;N;Uwodnione odpady ciekłe zawierające substancje niebezpieczne;650
16;10.0;2.0;B;Uwodnione odpady ciekłe inne niż wymienione w 16 10 01;651
16;10.0;3.0;N;Stężone uwodnione odpady ciekłe (np. koncentraty) zawierające substancje niebezpieczne;652
16;10.0;4.0;B;Stężone uwodnione odpady ciekłe (np. koncentraty) inne niż wymienione w 16 10 03;653
16;11.0;;B;Odpady z okładzin piecowych i materiały ogniotrwałe;654
16;11.0;1.0;N;Węglopochodne okładziny piecowe i materiały ogniotrwałe z procesów metalurgicznych zawierające substancje niebezpieczne;655
16;11.0;2.0;B;Węglopochodne okładziny piecowe i materiały ogniotrwałe z procesów metalurgicznych inne niż wymienione w 16 11 01;656
16;11.0;3.0;N;Inne okładziny piecowe i materiały ogniotrwałe z procesów metalurgicznych zawierające substancje niebezpieczne;657
